Sentence,Sentiment
"Bear-Market Bounce Breaks Despite ""Global Money-Printing Orgy""  https://t.co/d5ecBrunow",negative
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,negative
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral
user: AAP  hod   WAT  CAN I SAY.... A THE BEAS>>OTA THE POO!,positive
user zeno123 AN of course looking at intra-day is irrelevant for swing trading. no sign revrs,negative
"$VRNS - Varonis EPS beats by $0.01, beats on revenue https://t.co/6V8ZD0QTzO",positive
The company distributes Hiab 's products as well as other products .,neutral
Czechs Unexpected Rate Hike Lifts Koruna to Seven-Year High,neutral
Advanced Emissions Solutions declares $0.25 dividend,neutral
Wholesale trade underwhelm in December,negative
Trade fears have produced yet another pop in the VIX index.  https://t.co/Wf3nY2LLE5,negative
Victory Bancorp declares $0.025 dividend,neutral
"EV anything financial, over 41.20",positive
Tesla unveiled a new electric pickup truck called Cybertruck yesterday. But the trucks futuristic design polarized https://t.co/e70Lm0m1dy,neutral
"Most North Sea oil output 'in the money', but decom bill looms - Woodmac https://t.co/UwjPYh1W2z https://t.co/iEre6K0kRt",neutral
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative
Amazon hires former Sony executive for top video entertainment role https://t.co/qT4n4VVPS2,neutral
"JPMorgan Chase reported earnings, making it the first major U.S. bank to show how the spreading coronavirus has affÃ¢â¬Â¦ https://t.co/FctuUBKRLJ",negative
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",neutral
"10:09 am $SPY 260.13 2,471 STOCKS ARE up from the OPEN vs 736 that are down from the open. $IWM 111.7",positive
$COMDX: Energy Settlement Prices https://t.co/JHLtzLJyB0,neutral
"Russian Media Ventures ' minority shareholder Peter Hervy denied the plans to sell OVA Press , the daily said .",neutral
AAP big time drop today on a day when market is up SPY,negative
Boeing reports 30 new orders for the troubled 737 Max in November https://t.co/jGejqEi0oT,positive
NTSB calls on Boeing to redesign thousands of 737s,negative
AAP Apple's stock is 36% lower than its September high.,negative
DDD wow - nice swing if you caught the bottom pre market,positive
AAP Going to be interesting to see the pop and squeeze on Jan 23rd if we see a positive report.,positive
$UVXY Put the chum out there at key support then next level down - careful,negative
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral
"One week in, Netflix's stock is weathering Disney+",neutral
SEV from yest post/entry out 100% +.20,positive
Inflows with a capital I: The S&P 500 fund took in $11 billion in March https://t.co/kTk0dimVl4,neutral
AAP Bounce Coming?,positive
"APC, I passed on that short, and it did do a 1 dollar roll.",negative
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",positive
"Jan. natural gas traded at $2.289/mln Btus, up 4.7 cents, or 2.1%",positive
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",neutral
Some Bad News From JPM: This Is What Happens After We Pass The Virus Peak  https://t.co/4eoRhnc6fc,negative
Bear Signal Calls BIG Stocks Rally Reversal,negative
GS daily. See if you can get a tweezer top into the ABCD reversal here for a short next few days,negative
AAP quietly show me consistent 120k 4every 2min print will send me back to cash or a spike +200k on a single bar.,negative
user zeno123 AN of course looking at intra-day is irrelevant for swing trading. no sign revrs,negative
Good eye... user: FDX broke resistance. ooks to continue its bullish trend,positive
"Euro Slumps to 4-Month Low Amid Weaker Data, Virus Fallout Fears",negative
Russia was banned from hosting Olympic and World Cup events for the next 4 years over its doping scandal https://t.co/TZjDQVr3iB,neutral
Hong Kong's leader has insisted that escalating violence would not force her administration to yield to protester d https://t.co/jmPHQjCdtc,neutral
"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",neutral
"$PACD easy to see, easy to trade !!!! Dont forget $CETX looks primed for a run to $1",positive
AAP wouldn't be surprised to see retest of 435 level as new resistance sometimes this week,negative
"Kobe Bryant could have become better at investing, says 76ers' Michael Rubin https://t.co/iCQPiX8hGn",neutral
"Merger Arbitrage Analysis And Spread Performance - April 5, 2020. https://t.co/R2vdtaXb2G #business #investing #trading",neutral
Blue-collar hiring in the U.S. has slowed to a trickle: Rex Nutting,negative
Oaktree Specialty Lending declares $0.095 dividend,neutral
"?? Iman, the last Sumatran rhinoceros in Malaysia, has died at 25 after succumbing to cancer https://t.co/5D99IeWvcf",neutral
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative
Why Shares of UPS Fell in January,negative
"Quietly grinding higher, tons of products JAH #JADEN Corp where they come from #WOW!",positive
"$SOL - ReneSola names new CEO, CFO after departures https://t.co/mn86Psp8tq",neutral
"Does Your Retirement Portfolio Hold These 3 Mutual Fund Misfires? - November 25, 2019",neutral
"Weak Listing For SBI Cards; Shares Fall 12% At Debut
https://t.co/2P4SEFqZI3",negative
FalconStor Software reports Q3 results,neutral
"Sensex, Nifty End Mixed Despite RBI's Steep Reo Rate Cut
https://t.co/veT0PAZO5d",negative
"Is CryoPort, Inc. (CYRX) A Good Stock To Buy?",neutral
New medical chief at Savara,neutral
user: ZNGA woow look at this... Should we consider this as a bearish engulfing?,negative
"Voters in key 2020 election states are growing increasingly pessimistic about the economy, as the coronavirus crisi https://t.co/5hJJPXZ9mB",negative
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive
U.K.'s Johnson to Spend 5 Billion Pounds on Bus Service Overhaul,neutral
GS got some 145C march options today. Will leave them probably till expiration.,positive
"For those not following MBI, a conservative Fair value in 18 ...25 is realistic ...when they settle w/BAC (soon) it'll get there FAST",positive
Gen Z explains the number 1 thing they're saving for: https://t.co/WDdTPJgzXB,neutral
SDJPY No breakout on the close. isk rally with equity traders in front of their skis into earnings.  ES SPY SPX,negative
"$SPSK - Islamic Bond ETF Covers Unique ESG Market, For A Price. https://t.co/ykp5jaMkCj #investing #markets #trading",neutral
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral
Fed Repo Action Oversubscribed in Clamor for Year-End Funds,neutral
VNG I swear never seen such terrible reporting on one stock ever in my life > The Cuban news is not negative lol,positive
"CEG daily rejected at Fibextension of the bat, with short ter h+s. Wait to setup user",negative
"If you hit the $237 million Powerball jackpot, this is your tax bill. https://t.co/F35lmfwIYq",neutral
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative
"ed Weekly Triangle on SNSS,....pdating, for complete study check",positive
$JEC - Jacobs Engineering Q4 2019 Earnings Preview https://t.co/ktdTe05cWt,neutral
AAP Selling begin First Wave of Dumping.,negative
"Only L+Ã±nnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral
Finance Minister Begins Pre-Budget Consultations Starting Monday,neutral
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral
"Coronavirus Pandemic Can Affect Economic Activity In India: Shaktikanta Das
https://t.co/IFj95m4fIj https://t.co/1fPlFmTSoY",negative
United joins Delta and American in suspending flights between the U.S. and mainland China. United's flight suspensi... https://t.co/5ZtcJXzf7O,negative
"STOCKS NOW:
- Dow up 345.10 points 
- Nasdaq up 88.49 
- S&P up 32.25   
Here's what's moving markets: https://t.co/j7gT8jOd5m",positive
$SM - SM Energy (SM) Presents At 2019 Stephens Nashville Investment Conference - Slideshow. Read more and get updat https://t.co/w15JWT01on,neutral
"Yellen Blames ""Enormous Debt And Buybacks"" For Coming Default Wave; Morgan Stanley Says It's All The Fed's Fault  https://t.co/Ed0jVBpmhZ",negative
"Indian Stocks Rebound Sharply, But Suffer Worst Week Since 2009
https://t.co/r5RNbKDRnL",negative
user: Commented on: Zynga: eady For eal-Money Games And Improving On The Cost Side  ZNGA // #TENDEVESA,positive
Berkshire applies to boost Wells Fargo stake above 10 percent,positive
Twitter -3.5% in pullback after double-digit gain,negative
Oil Begins To Move Lower  Will Our Predictions Come True?,negative
Sports Direct International : Britain's Sports Direct to change name to Frasers Group ... https://t.co/dgK2Mb3MbE,neutral
WMT opening range 30 min. JPM comments negative. No position,negative
"RT @Birdyword: South Korea's Moon Jae-in and Japan's Shinzo Abe aren't exactly good mates. But with a parliamentary majority, Moon now hasÃ¢â¬Â¦",negative
user NKD the next NFX ???,positive
The Best And Worst Oil Predictions Of 2019,neutral
"Consumer inflation eases to 6.58% in February, from 7.59% in previous month",positive
"AFFY oversold.  etter is precaution, not a death sentence.",positive
"red, not ready for break out.",negative
Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .,neutral
$PHUN - Phunware gains on coronavirus mobile solution https://t.co/50fjiJNUhz,positive
Stephen Poloz to step down as Bank of Canada governor https://t.co/OCK1beah3N,neutral
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive
WATCH: Dow drops 500 points as worries grow about the economic impact of the coronavirus. https://t.co/99uEAXIHI7,negative
Italy reported the lowest number of new coronavirus infections in nearly three weeks https://t.co/rfvTbyw70B,neutral
New Credit Suisse boss faces stiff challenge in Asia,negative
NKD what a hot piece of bullflag!,positive
Dow gains more than 770 points on hopes the economy will recover from coronavirus https://t.co/LoiMexyjZI,positive
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive
"SHD added to short position on move up, Sears headed lower part II now available:",negative
"Neste tops Q4 profit, dividend forecasts",positive
SK to the GAVE!,negative
Friday's high quality breakouts still within range of their pivot points: TV TMI OC WT MDZ FEIC HA SB OTEX,positive
"India's 2019-20 Fuel Demand Growth Worst In Over Two Decades
https://t.co/YfTp4gWwLS",negative
otten aapl   spy,negative
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",positive
RT @AndrewScurria: 1st large oil-and-gas bankruptcy stemming from coronavirus/Saudi-Russia price war. Whiting Petroleum files for chapter 1Ã¢â¬Â¦,negative
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral
GOOG 809ish stop on rest of the short position,negative
SNDK pattern looking more interesting. Can it successfully break into the gap this time around?,positive
$XLF $FAS $FAZ - Banks may face legal actions over margin calls - FT https://t.co/SAACWM7yNa,negative
$PREKF - Prairiesky Royalty reports Q4 results https://t.co/Bs0O5QMHo9,neutral
AMTD looking for a bounce off the 50sma,positive
Estimating The Fair Value Of Rexnord Corporation (NYSE:RXN),neutral
"Ubiquiti EPS misses by $0.06, misses on revenue",negative
The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,positive
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral
France's 5G spectrum to be sold at floor price of 2.17 billion euros:  minister https://t.co/BdKKwlwTFb https://t.co/xbOIYtNAas,neutral
Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,neutral
Vital conversations happen all around the Eighth Federal Reserve District. One of the ways we listen is through our https://t.co/tsLMen6MSn,neutral
"Stocks making the biggest moves after hours: Urban Outfitters, Amarin, Endo International & more",neutral
$FCX: Freeport-McMoRan builds on this week's strength https://t.co/pqfa347iBh,neutral
Is Evonik Industries AG (ETR:EVK) Trading At A 45% Discount?,neutral
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",positive
Stock-index futures pare gains after report of China concerns over trade deal,negative
Can The Record Highs In U.S. Stocks Last?,neutral
BBG Short 14.86 or wait for 14.79 break 02/04 low,negative
"In this retail apocalypse, stores like $JCP need to meet customers with convenience. https://t.co/Utb0NZ9WEf",neutral
AAP and CM - if you're following the strategy you should take some profits b4 close.,negative
"ASTX looking very strong, I would like to see a pullback staying above 4 to re-enter",positive
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",negative
It will provide heating in the form of hot water for the sawmill 's needs .,neutral
"Vodafone Idea, Bharti Rally on Plan to Increase Mobile Tariffs",positive
Why Reports of Drugs for Coronavirus Are Premature,neutral
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral
JEOL : Form 8.5 (EPT/RI)- Just Eat plc AMENDMENT #JEOL #Stock #MarketScreener https://t.co/EzlnPgve80 https://t.co/Ymcgw5V8l8,neutral
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive
AAP emember last Friday in the last 5 minutes APP Collapsing !,negative
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral
$XERS - Xeris Pharma launches equity offering; shares down 3% after hours https://t.co/CyNLP2rS7J,negative
VVS pop with volume,positive
I will short FDX under 96.85.,negative
